,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
AC093627.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093627.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093627.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-90P13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093627.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093627.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM20C,1603,2793,1564,626,401,2397,786,2321,4150,2897,2030,1493,4861,3522,3919,2127
AC145676.2,0,2,0,14,3,8,2,0,3,21,5,3,7,1,0,4
WI2-2373I1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC226118.1,0,4,1,0,3,4,0,2,0,0,0,0,0,0,0,0
AC147651.1,0,0,0,1,1,0,4,1,0,1,0,0,0,0,0,0
PDGFA,38,46,80,259,277,719,441,164,238,663,500,204,266,432,117,555
AC147651.3,0,0,16,1,12,9,6,8,4,13,4,0,4,8,0,19
PRKAR1B,431,829,1753,3171,2413,2858,2214,807,712,2316,1076,323,329,2722,393,2119
AC147651.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC147651.4,67,97,91,99,13,9,14,93,129,33,58,75,222,166,321,24
DNAAF5,233,294,1166,574,1093,2528,2195,1272,1007,2026,1534,692,365,513,453,2047
SUN1,2457,2482,4277,6353,5708,3760,4472,6263,4504,8754,6632,2346,4172,7869,2021,8922
GET4,83,86,143,241,416,304,377,77,71,123,135,86,86,210,95,143
RP11-449P15.2,4,4,4,7,18,5,8,4,2,3,4,2,0,0,0,2
ADAP1,1604,1949,2213,141,161,197,146,1224,1439,864,1081,2384,1275,1235,2199,1368
COX19,349,558,701,1335,1185,1847,1145,718,879,466,495,318,530,737,930,392
CYP2W1,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,2
C7orf50,8015,7653,14152,9770,14170,13339,9886,9321,7232,10289,6441,8613,10856,7678,10361,9461
MIR339,0,2,4,1,4,9,2,0,0,3,0,0,1,0,0,3
AC073957.15,0,0,0,6,7,0,9,0,0,0,4,0,0,0,0,0
