,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
SDC2,9.033007000000001,8.267692,8.348596,8.297971,8.593231,8.328126,8.486322,8.277873,8.180383,8.072335,8.621042,8.250649000000001
SDC3,6.7577940000000005,6.5918410000000005,6.743755,6.768228,6.712919,6.918227000000001,6.668814,6.628607000000001,6.709372999999999,6.679927,6.854378,6.773588
SDC4,8.997206,8.724008999999999,9.270569,9.155846,9.191044999999999,9.31294,9.494102,9.409466,10.058264,8.877248,9.836738,9.341758
SDC4P,6.867792999999999,6.5003459999999995,6.591226,6.634685,6.664810000000001,6.620305,6.491666,6.5892919999999995,6.420308,6.440591,6.536672,6.636916
SDCBP,9.6592795,9.206337,9.156369,9.452367500000001,9.114696,9.431949000000001,8.710165,9.196904,9.16747,9.5319485,9.202010000000001,9.6181195
SDCBP2,6.499169,6.7054045,6.603575,6.5063825,6.6708505,6.6100595,6.733724499999999,6.631417999999999,6.68283,6.598911,6.710358,6.604556
SDCCAG3,9.620869,9.370656,9.546146,9.377971,9.340438,9.486988,8.895557,9.021616999999999,9.694962,9.27281,9.574671,9.307222
SDCCAG8,6.854286,7.007673,6.847705,7.116408,7.100941000000001,7.225167999999999,6.759395,6.965605,6.948277,7.067361999999999,6.624014,7.04082
SDE2,9.926224000000001,10.095861,9.781357,10.20602,10.073411,9.998372,10.323872,10.294741,9.52727,9.824545,10.287385,9.606999
SDF2,10.776672999999999,10.874725999999999,10.382109,10.784752000000001,10.895423,10.884646,10.820513,10.776914,10.696171000000001,10.706168,10.890835000000001,10.964361
SDF2L1,10.972583,11.370564,11.876551,11.212389,11.585999000000001,11.284921,11.488491999999999,11.329687,11.834013,11.334455,11.16967,11.315039
SDF4,6.743574000000001,7.125483999999999,7.716102,7.0088919999999995,6.766506,7.078072,6.534161,6.803167,8.122304,6.981939,6.930630000000001,7.481372
SDHA,9.830278999999999,9.8981275,9.978666,9.653018,9.546946499999999,9.9381095,9.4454145,9.624083500000001,10.3493285,9.7256415,9.29378,9.962816
SDHAF1,6.750514999999999,6.7721100000000005,7.16172,6.985082000000001,6.786131,7.151747,6.693726,6.858281,7.61645,6.9097990000000005,6.7857080000000005,6.891151
SDHAF2,11.767797,11.62609,11.29325,11.901873,11.921864,11.817333,11.952942,11.96415,11.266424,11.816282000000001,11.993296,11.844012
SDHAF3,9.049904,9.709025,9.5179585,9.1885875,9.3891845,9.4571,9.2051005,9.440722500000001,10.003532,9.0604245,9.008869,9.055694
SDHAF4,7.854775999999999,8.160511,8.243459,7.723944,7.873385000000001,7.825664999999999,8.482484,8.288195,8.975700999999999,7.628655999999999,7.924573,7.99891
SDHAP1,6.973586999999999,7.042627,6.927377000000001,7.024753,7.032844,7.017081,6.9236830000000005,6.970633,7.050846000000001,6.966169,6.987907000000001,7.0293470000000005
SDHAP2,8.579707,8.69415,8.707427000000001,8.806202,8.857660000000001,8.953484,8.844674000000001,8.944735000000001,8.713969,8.679068,9.042703,8.639957
SDHAP3,6.697783,6.718616,6.524553,6.656219,6.526118,6.765442,6.6295649999999995,6.6588460000000005,6.639035000000001,6.702014999999999,6.626883,6.722467
SDHB,12.673121,12.495361,12.675471,12.354053,12.560874,12.443591,12.675471,12.605674,12.904308,12.585268,12.519067999999999,12.563928
SDHC,10.193741000000001,10.545494,10.417286,10.3628085,10.571053,10.3127855,10.466433,10.479338499999999,10.369465,10.378200999999999,10.5039325,10.4540405
SDHD,9.890062,9.943589999999999,9.469547,9.672775,9.855858999999999,9.852932000000001,9.941642,9.907944,10.100025,9.787519999999999,9.872277,9.793859
