	Mouse_ABCD1_1	Mouse_ABCD1_2	Mouse_ABCD1_3	Mouse_NT_1	Mouse_NT_2	Mouse_NT_3
Mir201	0	0	0	0	0	0
Mir547	0	0	0	0	0	0
RP23-320H14.2	0	0	0	0	0	0
Mir509	0	0	0	0	0	0
RP23-258B4.1	0	0	0	0	0	0
RP23-258B4.2	5.15341016230231	3.71342011723724	0	0.944017514537436	1.95959185071892	3.40465676566292
RP23-344I3.1	71.1170602397718	92.8355029309311	106.184802559326	45.312840697797	54.8685718201299	96.4652750271161
Gm22332	0	0	0	0	0.979795925359462	0
RP23-344I3.2	0	0	0	0	0	0
RP23-468B9.1	0	0	0	0	0	0
Fmr1os	0	0	1.89615718855939	1.88803502907487	0	4.53954235421723
Gm27979	0	0	0	0	0	0
Gm27838	0	0	0	0	0	0
Fmr1	1879.96402720788	1771.30139592217	2126.54028696936	1009.15472304052	982.735313135541	1059.98313970972
Gm22435	6.18409219476277	2.78506508792793	3.79231437711879	0.944017514537436	0	2.26977117710861
Fmr1nb	0	0	0	0	0	0
RP23-149C7.3	0	0	0	0	0	0
RP23-149C7.4	39.1659172334975	25.9939408206607	37.9231437711879	35.8726655524226	41.1514288650974	49.9349658963895
RP23-99A5.1	0	0	3.79231437711879	0	0	2.26977117710861
RP23-99A5.2	0	0	0	0	0	0
n-R5s7	0	0	0	0	0	0
RP23-207B22.1	0	0	0	0	0	0
Aff2	4.12272812984185	1.85671005861862	0	9.44017514537436	9.79795925359462	13.6186270626517
RP23-34D17.1	10.3068203246046	3.71342011723724	3.79231437711879	16.9923152616739	9.79795925359462	7.94419911988015
RP23-322C16.2	4.12272812984185	0	0	0	0	0
RP23-322C16.1	0	0	0	0	0	4.53954235421723
Ids	980.178612869899	901.432733459341	1080.80959747886	574.906666353299	660.382453692278	727.461662263311
RP23-403O11.1	396.812582497278	375.055431840962	403.881481163151	257.71678146872	283.161022428885	225.842232122307
RP23-403O11.6	0	0	0	0	0	0
RP23-403O11.2	0	0	0	0	0	0
RP23-403O11.3	0	0	0	0	0	0
RP23-403O11.4	0	0	0	0	0	0
RP23-403O11.5	0	0	0	0	0	0
RP23-403O11.7	0	0	0	0	0	0
RP23-403O11.8	0	0	0	0	0	0
RP23-403O11.9	522.555790457454	470.675999859821	522.391305448113	412.53565385286	384.080002740909	432.391409239191
RP23-403O11.11	0	0	0	0	0	0
RP23-403O11.10	0	0	0	0	0	0
RP23-403O11.12	0	0	0	0	0	0
RP23-403O11.13	0	1.85671005861862	0	1.88803502907487	0	0
RP23-403O11.14	0	0	0	0	0	0
RP23-403O11.15	0	0	0	0	0	0
RP23-403O11.16	0	0	0	0	0	0
RP23-403O11.17	0	0	0	0	0	0
RP23-41H11.1	0	0	0	0	0	0
RP23-41H11.2	0	0	0	0	0	0
Rplp1-ps1	0	0	0	0	0	0
Gm22785	0	0	0	0	0	0
RP23-251J15.1	0	0	0	0	1.95959185071892	0
RP23-245M12.1	0	0	0	0	1.95959185071892	2.26977117710861
Mamld1	926.583147181955	910.716283752434	1022.02872463351	474.840809812331	485.978778978293	366.568045103041
n-R5s8	4.12272812984185	9.28355029309311	7.58462875423758	0	7.8383674028757	9.07908470843445
